day,sale_id,order_name,product_title,gross_sales,discounts,returns,net_sales,shipping_charges,return_fees,taxes,total_sales
2025-07-01,18571300372527,BREAKING-GAMES-57826,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-01,18571859197999,BREAKING-GAMES-57828,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,0.0,0.0,69.99,0.0,0,5.59,75.58
2025-07-01,18571859165231,BREAKING-GAMES-57828,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,0.0,0.0,9.99,0.0,0,0.79,10.78
2025-07-01,18573059817519,BREAKING-GAMES-57829,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-01,18571859132463,BREAKING-GAMES-57828,Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,9.99,0.0,0.0,9.99,0.0,0,0.79,10.78
2025-07-01,18571572281391,BREAKING-GAMES-57827,,0.0,0.0,0.0,0.0,8.59,0,0.54,9.13
2025-07-01,18573059784751,BREAKING-GAMES-57829,The Big Box of Magic,39.99,0.0,0.0,39.99,0.0,0,0.0,39.99
2025-07-01,18571300339759,BREAKING-GAMES-57826,The Big Box of Magic,39.99,0.0,0.0,39.99,0.0,0,0.0,39.99
2025-07-01,18571572248623,BREAKING-GAMES-57827,We're Doomed: Meritocracy Expansion Pack | Party Game | 4-12 Players,19.99,0.0,0.0,19.99,0.0,0,1.25,21.24
2025-07-01,18571859230767,BREAKING-GAMES-57828,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-02,18580546289711,BREAKING-GAMES-57830,,0.0,0.0,0.0,0.0,0.0,0,0.28,0.28
2025-07-02,18580546256943,BREAKING-GAMES-57830,The Big Box of Magic,39.99,0.0,0.0,39.99,0.0,0,2.6,42.59
2025-07-03,18587286110255,BREAKING-GAMES-57832,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-03,18589042966575,BREAKING-GAMES-57833,MIXTAPE,20.0,-2.0,0.0,18.0,0.0,0,1.49,19.49
2025-07-03,18583575560239,BREAKING-GAMES-57831,The Big Box of Magic,39.99,0.0,0.0,39.99,0.0,0,2.9,42.89
2025-07-03,18587286077487,BREAKING-GAMES-57832,Dwellings of Eldervale - Exclusive Game Mat,64.99,0.0,0.0,64.99,0.0,0,5.76,70.75
2025-07-03,18589042999343,BREAKING-GAMES-57833,,0.0,0.0,0.0,0.0,10.06,0,0.83,10.89
2025-07-03,18583575593007,BREAKING-GAMES-57831,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-04,18590563860527,BREAKING-GAMES-57834,,0.0,0.0,0.0,0.0,33.89,0,0.0,33.89
2025-07-04,18590563794991,BREAKING-GAMES-57834,Dwellings of Eldervale - Oracle Hex Tile,6.99,0.0,0.0,6.99,0.0,0,0.0,6.99
2025-07-04,18590563696687,BREAKING-GAMES-57834,Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,9.99,0.0,0.0,9.99,0.0,0,0.0,9.99
2025-07-04,18590563762223,BREAKING-GAMES-57834,Dwellings of Eldervale - Mother of Dragons Miniature,7.99,0.0,0.0,7.99,0.0,0,0.0,7.99
2025-07-04,18590563827759,BREAKING-GAMES-57834,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,0.0,0.0,69.99,0.0,0,0.0,69.99
2025-07-04,18590563729455,BREAKING-GAMES-57834,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,0.0,0.0,9.99,0.0,0,0.0,9.99
2025-07-04,18595014606895,BREAKING-GAMES-57835,Expancity | Family Strategy City Building Game | 2-4 Players,60.0,0.0,0.0,60.0,0.0,0,3.75,63.75
2025-07-04,18595014639663,BREAKING-GAMES-57835,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-05,18597152227375,BREAKING-GAMES-57836,Letter Tycoon,25.0,0.0,0.0,25.0,0.0,0,2.27,27.27
2025-07-05,18600171143215,BREAKING-GAMES-57838,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,-2.01,0.0,17.98,0.0,0,1.26,19.24
2025-07-05,18597623627823,BREAKING-GAMES-57837,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,0.0,0.0,19.99,0.0,0,0.0,19.99
2025-07-05,18597623562287,BREAKING-GAMES-57837,Dwellings of Eldervale - Oracle Hex Tile,6.99,0.0,0.0,6.99,0.0,0,0.0,6.99
2025-07-05,18600171175983,BREAKING-GAMES-57838,Dwellings of Eldervale - Oracle Hex Tile,6.99,-0.69,0.0,6.3,0.0,0,0.44,6.74
2025-07-05,18597152260143,BREAKING-GAMES-57836,,0.0,0.0,0.0,0.0,8.59,0,0.76,9.35
2025-07-05,18597623660591,BREAKING-GAMES-57837,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,0.0,0.0,69.99,0.0,0,0.0,69.99
2025-07-05,18597623595055,BREAKING-GAMES-57837,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,0.0,0.0,9.99,0.0,0,0.0,9.99
2025-07-05,18600171208751,BREAKING-GAMES-57838,,0.0,0.0,0.0,0.0,5.17,0,0.36,5.53
2025-07-05,18597623693359,BREAKING-GAMES-57837,,0.0,0.0,0.0,0.0,33.89,0,0.0,33.89
2025-07-06,18604512608303,BREAKING-GAMES-57843,Circular Reasoning - The Well of Power,25.0,-2.5,0.0,22.5,0.0,0,1.58,24.08
2025-07-06,18600875622447,BREAKING-GAMES-57839,Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,9.99,-1.01,0.0,8.98,0.0,0,0.66,9.64
2025-07-06,18602351165487,BREAKING-GAMES-57840,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-06,18600875687983,BREAKING-GAMES-57839,Dwellings of Eldervale - Oracle Hex Tile,6.99,-0.69,0.0,6.3,0.0,0,0.47,6.77
2025-07-06,18602485514287,BREAKING-GAMES-57841,,0.0,0.0,0.0,0.0,11.2,0,0.0,11.2
2025-07-06,18603297210415,BREAKING-GAMES-57842,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-07-06,18600875655215,BREAKING-GAMES-57839,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,-1.0,0.0,8.99,0.0,0,0.66,9.65
2025-07-06,18600875720751,BREAKING-GAMES-57839,,0.0,0.0,0.0,0.0,5.42,0,0.0,5.42
2025-07-06,18602485481519,BREAKING-GAMES-57841,We're Doomed: Meritocracy Expansion Pack | Party Game | 4-12 Players,19.99,0.0,0.0,19.99,0.0,0,1.95,21.94
2025-07-06,18602351132719,BREAKING-GAMES-57840,Dwellings of Eldervale 2nd Edition: Standard,99.99,0.0,0.0,99.99,0.0,0,9.1,109.09
2025-07-06,18604512641071,BREAKING-GAMES-57843,Suddenly Drunk's Box of Bad Ideas,25.0,-2.5,0.0,22.5,0.0,0,1.58,24.08
2025-07-06,18603297112111,BREAKING-GAMES-57842,ADJitation,25.0,0.0,0.0,25.0,0.0,0,1.55,26.55
