product_title,product_vendor,product_type,net_items_sold,gross_sales,discounts,returns,net_sales,taxes,total_sales
Dwellings of Eldervale 2nd Edition: Standard,Breaking Games,Game,129,13098.69,-420.04,-189.98,12488.67,834.89,13323.56
Dwellings of Eldervale - LEGENDARY Upgrade Kit,Breaking Games,Game,175,12528.21,-385.1,-272.96,11870.15,643.9,12514.05
Dwellings of Eldervale - DELUXE Upgrade Kit,Breaking Games,Game,89,4894.11,-115.51,0.0,4778.6,236.21,5014.81
We're Doomed!,Breaking Games,Game,104,3745.0,-56.01,-105.0,3583.99,226.48,3810.47
Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,Breaking Games,Game Accessory,127,2558.72,-86.02,-17.99,2454.71,131.51,2586.22
The Big Box of Magic,Breaking Games,Game,46,1879.53,-27.97,-39.99,1811.57,108.57,1920.14
Dwellings of Eldervale - Exclusive Game Mat,Breaking Games,Game Accessory,28,1884.71,-52.01,-64.99,1767.71,106.42,1874.13
MIXTAPE,Breaking Games,Game,83,1680.0,-30.0,-20.0,1630.0,103.39,1733.39
Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,Breaking Games,Game Accessory,135,1368.63,-48.95,-18.98,1300.7,69.68,1370.38
Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,Breaking Games,Game Accessory,134,1368.63,-48.0,-26.97,1293.66,67.51,1361.17
Expancity | Family Strategy City Building Game | 2-4 Players,Breaking Games,Game,21,1260.0,-54.0,0.0,1206.0,66.8,1272.8
Dwellings of Eldervale - Oracle Hex Tile,Breaking Games,Game Accessory,178,1258.2,-40.46,-12.58,1205.16,64.83,1269.99
We're Doomed: Meritocracy Expansion Pack | Party Game | 4-12 Players,Breaking Games,Game,45,959.52,-21.98,-59.97,877.57,55.76,933.33
Letter Tycoon,Breaking Games,Game,32,825.0,-7.5,-25.0,792.5,40.64,833.14
Hypothetically Fun,Breaking Games,Game,28,700.0,0.0,0.0,700.0,53.55,753.55
Pocket Dungeon Quest,Breaking Games,Game,27,675.0,-12.5,0.0,662.5,24.91,687.41
Billionaire Banshee,Breaking Games,Game,20,700.0,0.0,-200.0,500.0,34.99,534.99
Klask (First Edition),Breaking Games,Game,9,550.0,-15.0,-90.0,445.0,21.96,466.96
Rise of Tribes: Beast and Bronze Expansion (Base Game Required),Breaking Games,Game,14,350.0,-10.02,0.0,339.98,16.01,355.99
Dwellings of Eldervale -  Frost Giant Miniature with Bifröst Bridge Hex Tile,Breaking Games,Game Accessory,43,343.57,-7.19,0.0,336.38,15.28,351.66
Flick Wars: Deluxe Edition,Breaking Games,Game,4,319.96,0.0,0.0,319.96,20.34,340.3
Trellis,Breaking Games,Game,13,325.0,-12.5,0.0,312.5,15.02,327.52
The Game of 49 | Family Friendly Strategy Board Game | 2-5 Players,Breaking Games,Game,18,360.0,-52.0,0.0,308.0,16.31,324.31
Top That Toast,Breaking Games,Game,14,280.0,-4.0,0.0,276.0,19.26,295.26
"Keep Calm! | Hilarious Party Game for Friends and Family | Ideal for Game Night | Ages 17+, 3-8 Players",Breaking Games,Game,11,275.0,-7.5,0.0,267.5,17.96,285.46
Master Thief,Breaking Games,Game,18,270.0,-12.0,0.0,258.0,18.07,276.07
Rise of Tribes: The Vul'Keth Invasion Expansion (Base Game Required),Breaking Games,Game,18,259.8,-7.77,-25.98,226.05,11.9,237.95
Billionaire Banshee - Expansion #1,Breaking Games,Game,14,210.0,-1.5,0.0,208.5,12.77,221.27
Suddenly Drunk's Box of Bad Ideas,Breaking Games,Game,9,311.29,-5.0,-91.65,214.64,6.4,221.04
Rise of Tribes - Standard Edition,Breaking Games,Game,4,200.0,0.0,0.0,200.0,15.12,215.12
Shadow*Kitty | Family-Friendly Set Collection Board Game | 3-8 Players,Breaking Games,Game,8,200.0,-5.0,0.0,195.0,11.27,206.27
Rise of Tribes - Deluxe Upgrade (Base Game Required),Breaking Games,Game,8,200.0,-5.02,0.0,194.98,10.06,205.04
Political Animals,Breaking Games,game,5,175.0,0.0,0.0,175.0,13.01,188.01
Flick Wars - Tabletop Dexterity Combat Game with 3D Terrain,Breaking Games,Game,3,179.97,0.0,0.0,179.97,7.65,187.62
